time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448450000	20.1485	14.0088	4.83128	1.78675	0.573068	radar	0.772459	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0936	14.2625	4.85941	1.81504	0.571456	lidar	0.344406	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0219	14.4922	4.85639	1.84444	0.566165	radar	1.35477	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9131	14.7456	4.90204	1.88823	0.583112	lidar	1.06815	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8477	14.9647	4.88061	1.89867	0.534532	radar	3.42173	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.82	15.182	4.83846	1.90466	0.511373	lidar	2.28547	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6842	15.3905	4.82344	1.99891	0.687158	radar	7.44615	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6552	15.5777	4.74048	2.00646	0.658075	lidar	3.87072	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5635	15.7836	4.72412	2.02805	0.63019	radar	1.46027	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.459	15.996	4.72561	2.05806	0.628322	lidar	0.023309	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3596	16.2055	4.72086	2.06494	0.561412	radar	1.97007	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2508	16.3826	4.67656	2.09472	0.565402	lidar	0.691236	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.133	16.5793	4.66977	2.12431	0.570275	radar	0.276414	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0033	16.7893	4.69105	2.15228	0.568758	lidar	0.138165	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8454	16.9795	4.70744	2.22271	0.682386	radar	6.18659	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6702	17.2135	4.79653	2.25824	0.680387	lidar	1.86136	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5709	17.4212	4.77153	2.22332	0.509067	radar	6.2586	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.358	17.6131	4.83289	2.27005	0.531405	lidar	3.80353	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.221	17.8062	4.82472	2.26586	0.451103	radar	1.88167	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0927	17.9941	4.8051	2.27832	0.440056	lidar	0.881695	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9153	18.1462	4.78877	2.33127	0.514883	radar	2.41265	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.786	18.2897	4.71872	2.35151	0.510629	lidar	1.10463	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6525	18.4709	4.70269	2.35719	0.476769	radar	6.48359	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4594	18.6537	4.74993	2.38391	0.478724	lidar	0.486337	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2777	18.7934	4.73468	2.42517	0.519688	radar	1.91577	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1173	18.9305	4.69553	2.4495	0.518885	lidar	0.324424	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9499	19.1009	4.70382	2.4603	0.491403	radar	2.9352	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7331	19.2167	4.70619	2.50215	0.511757	lidar	2.78967	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5427	19.3695	4.72446	2.52878	0.523503	radar	3.24765	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3176	19.531	4.78867	2.55446	0.52077	lidar	0.861603	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0944	19.6126	4.76954	2.612	0.581523	radar	10.0964	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8886	19.7562	4.79383	2.63258	0.570684	lidar	0.770255	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7004	19.8826	4.76579	2.62908	0.486512	radar	3.18267	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.47	20.0369	4.83004	2.64508	0.474268	lidar	1.31344	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2576	20.1792	4.85464	2.65512	0.450164	radar	5.56939	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.07	20.3122	4.83898	2.66461	0.435445	lidar	1.76717	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8391	20.3929	4.83774	2.70788	0.479641	radar	2.28462	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6237	20.5127	4.84882	2.72384	0.469981	lidar	0.590746	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
